,referencing,referenced,total_refs,direct_ref
0,cdb6eb518f6ec868e2394f24ee48926b859518b5,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,1,True
1,cdb6eb518f6ec868e2394f24ee48926b859518b5,76fd60c0ec0030080bd36a23244fe870d443a03a,2,True
2,cdb6eb518f6ec868e2394f24ee48926b859518b5,bbb3d9fcc276837d6d4497a88cb0be43b4aff217,2,True
3,cdb6eb518f6ec868e2394f24ee48926b859518b5,51712091e5cc2f703e852b3c07bae970d7cdefe4,1,True
4,cdb6eb518f6ec868e2394f24ee48926b859518b5,532b585edb31f3843c90ff5c26a4e286ac248cf7,2,True
5,cdb6eb518f6ec868e2394f24ee48926b859518b5,2ac7512497a2289f7fc543d39eb5eec7d48468a9,1,True
6,cdb6eb518f6ec868e2394f24ee48926b859518b5,fd9e48c5cd04fec2823d99ef06c462985d3b2eb7,1,True
7,cdb6eb518f6ec868e2394f24ee48926b859518b5,e7a922049a9bf54a0b13cd1d475a58e36c7c9b3e,1,True
8,cdb6eb518f6ec868e2394f24ee48926b859518b5,3e14b8c206eceacd40c782b63c9581e3c99a5adb,1,True
9,cdb6eb518f6ec868e2394f24ee48926b859518b5,4a01cfe2c5b312ad8bcd791513056b2bcbc84549,1,True
10,cdb6eb518f6ec868e2394f24ee48926b859518b5,4332bf95aa520b515b6de4e50f47e988e45bccd6,4,True
11,cdb6eb518f6ec868e2394f24ee48926b859518b5,155a9d63259f34942860f0393a306070d9664442,5,True
12,cdb6eb518f6ec868e2394f24ee48926b859518b5,e399fb094628f8e8ccd5cb773cc167eab811c004,1,True
13,cdb6eb518f6ec868e2394f24ee48926b859518b5,47b4e322fc8f6339ec96fa02806e52d6a121020a,1,True
14,cdb6eb518f6ec868e2394f24ee48926b859518b5,030938cd7880fd9290b90f997e78937a87383c94,2,True
15,cdb6eb518f6ec868e2394f24ee48926b859518b5,8b0a4d41ee469547163ea154ad2b522d6d335671,8,True
16,cdb6eb518f6ec868e2394f24ee48926b859518b5,ea7a556db3ddfc859e33293063ca7911e3b77da5,2,True
17,cdb6eb518f6ec868e2394f24ee48926b859518b5,341ea24cc5456da43c0c0b8d1a6e362b31815d8f,4,True
18,cdb6eb518f6ec868e2394f24ee48926b859518b5,ea35d133e37f1fc1339999175970d2795dfe99da,3,True
19,cdb6eb518f6ec868e2394f24ee48926b859518b5,9dd8d17a17c9d23572fa90d819a9388a7faa49ed,3,True
20,cdb6eb518f6ec868e2394f24ee48926b859518b5,a4c8b73f5add658a08562e920ed458f96d105179,5,True
21,cdb6eb518f6ec868e2394f24ee48926b859518b5,c7884360037cb59d27ec25f8a3f00f2d95509066,6,True
22,cdb6eb518f6ec868e2394f24ee48926b859518b5,c0d7e39bc35f2cc22ba27a2f1f749a8f0212bcdf,10,True
23,cdb6eb518f6ec868e2394f24ee48926b859518b5,f81f91081ebb79389017ba768d76124d6ca3fa58,2,True
24,cdb6eb518f6ec868e2394f24ee48926b859518b5,8b2dd5c61b23ead5ae5508bb8ce808b5ea266730,1,True
25,cdb6eb518f6ec868e2394f24ee48926b859518b5,4f5769d9fac7e94afedd86eb0967b1977a5e8626,10,True
26,cdb6eb518f6ec868e2394f24ee48926b859518b5,73abb99b81129553805bd0f396cbea7e78736f97,1,True
27,cdb6eb518f6ec868e2394f24ee48926b859518b5,7101fcf288d6ee1452e374f4f20b8e6ab6af7af6,1,True
28,cdb6eb518f6ec868e2394f24ee48926b859518b5,58d92d220381a733b92c35ae737d1d2aa3601eef,1,True
29,cdb6eb518f6ec868e2394f24ee48926b859518b5,1bb49c3de3b09c196879fd57fc10daec33ad129b,4,True
30,cdb6eb518f6ec868e2394f24ee48926b859518b5,8753ddc0457a311e4118849afe84af93edee453d,2,True
31,cdb6eb518f6ec868e2394f24ee48926b859518b5,0965a50373ff2e38a05a3646867890d5f1069ae9,6,True
32,cdb6eb518f6ec868e2394f24ee48926b859518b5,6741f91a5b72c7adc706bd629bc9323a6971259f,6,True
33,cdb6eb518f6ec868e2394f24ee48926b859518b5,f3747d72af6c12c49e1fec4ba8fe65bcd9d25d05,4,True
34,cdb6eb518f6ec868e2394f24ee48926b859518b5,1ebd8d2863b23a90a36985f9a25c5d431e39612c,19,True
35,cdb6eb518f6ec868e2394f24ee48926b859518b5,ce24ce6fd4032f3b51fd42dfc5b323aee3d2a003,1,True
36,cdb6eb518f6ec868e2394f24ee48926b859518b5,cea4fb5e46aee36ff77ac5d4f0014cd8cb1bee30,9,True
37,cdb6eb518f6ec868e2394f24ee48926b859518b5,53f7e55e05999c34610e8d26227ba64c08a0f4ff,14,True
38,cdb6eb518f6ec868e2394f24ee48926b859518b5,3a71cb2b09f680fda2d34630af479ee0a2ca496e,1,True
39,cdb6eb518f6ec868e2394f24ee48926b859518b5,856e2c985825d055ec619a4ac9bf408182fd35a8,4,True
40,cdb6eb518f6ec868e2394f24ee48926b859518b5,ab73e70e7421d3aff7e8e6e01e32e486a0326d13,4,True
41,cdb6eb518f6ec868e2394f24ee48926b859518b5,148316b20fabdda8f3d0795c07ebb12986dd59da,8,True
42,cdb6eb518f6ec868e2394f24ee48926b859518b5,f44f4aa70c1220129cb923375e49e3be601519bf,3,True
43,cdb6eb518f6ec868e2394f24ee48926b859518b5,016cf2a0b396d8579ac0338081ad34017599c9b1,2,True
44,cdb6eb518f6ec868e2394f24ee48926b859518b5,353707814a5cfef499faf355665e739bc1d64218,2,True
45,cdb6eb518f6ec868e2394f24ee48926b859518b5,0c1c4b3b78e54381e1a1011843ffa1924af2da83,7,True
46,cdb6eb518f6ec868e2394f24ee48926b859518b5,06c96247409eab28ad23fe599fc1502466fb0f60,2,True
47,cdb6eb518f6ec868e2394f24ee48926b859518b5,e6ca6c5186c48c1175ed8ec51ad80118da02a35b,2,True
48,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,689bfbdfda79e347815c3d2f9c0b80e16ff49cf5,4,False
49,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,4332bf95aa520b515b6de4e50f47e988e45bccd6,4,False
50,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,155a9d63259f34942860f0393a306070d9664442,5,False
52,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,8b0a4d41ee469547163ea154ad2b522d6d335671,8,False
55,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,3c0e5eb7e999d9587875b74f2bde665bca57fec2,4,False
56,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,eb164d4c1bd95012bc66831a4319d98197737334,6,False
61,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,a4c8b73f5add658a08562e920ed458f96d105179,5,False
62,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,c0d7e39bc35f2cc22ba27a2f1f749a8f0212bcdf,10,False
64,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,15b74acde54afc09f8401ef1d660380c2db2a7e3,5,False
65,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,1c5a74d5124a5ca91986f8991a924b53e523e08c,4,False
68,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,4f5769d9fac7e94afedd86eb0967b1977a5e8626,10,False
73,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,f5da5560d924b846c4035ad4112c32d1ad704819,8,False
81,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,a68ec9a74fdae7dae859e27fb711bc3c335a0d86,6,False
83,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,1ebd8d2863b23a90a36985f9a25c5d431e39612c,19,False
85,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,4c940c7726ddd513e95d808442a77396d71e9f07,8,False
86,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,cea4fb5e46aee36ff77ac5d4f0014cd8cb1bee30,9,False
87,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,f8cdc12946a1c7ce157eeba4ae899907ebad7095,4,False
89,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,148316b20fabdda8f3d0795c07ebb12986dd59da,8,False
95,37c70abd2d61ec7f20cd9f9c801ecad00e6bbb7a,601273c37a9670f00234f7e7092bb673e7c0b25c,6,False
99,76fd60c0ec0030080bd36a23244fe870d443a03a,689bfbdfda79e347815c3d2f9c0b80e16ff49cf5,4,False
100,76fd60c0ec0030080bd36a23244fe870d443a03a,155a9d63259f34942860f0393a306070d9664442,5,False
105,76fd60c0ec0030080bd36a23244fe870d443a03a,8b0a4d41ee469547163ea154ad2b522d6d335671,8,False
107,76fd60c0ec0030080bd36a23244fe870d443a03a,341ea24cc5456da43c0c0b8d1a6e362b31815d8f,4,False
109,76fd60c0ec0030080bd36a23244fe870d443a03a,3c0e5eb7e999d9587875b74f2bde665bca57fec2,4,False
110,76fd60c0ec0030080bd36a23244fe870d443a03a,4f2f078bcabca17203f98842c5e7912d63f451ab,4,False
112,76fd60c0ec0030080bd36a23244fe870d443a03a,eb164d4c1bd95012bc66831a4319d98197737334,6,False
114,76fd60c0ec0030080bd36a23244fe870d443a03a,a4c8b73f5add658a08562e920ed458f96d105179,5,False
115,76fd60c0ec0030080bd36a23244fe870d443a03a,894d1a656c40c75c868b5cdf9e477e93a33d350f,4,False
116,76fd60c0ec0030080bd36a23244fe870d443a03a,5b682fc17f58f16893072f8cb7fdb70f0d7378fb,5,False
117,76fd60c0ec0030080bd36a23244fe870d443a03a,c7884360037cb59d27ec25f8a3f00f2d95509066,6,False
118,76fd60c0ec0030080bd36a23244fe870d443a03a,c0d7e39bc35f2cc22ba27a2f1f749a8f0212bcdf,10,False
120,76fd60c0ec0030080bd36a23244fe870d443a03a,7e534389bf18a62353aab3cb58036c2047bdbf6e,4,False
122,76fd60c0ec0030080bd36a23244fe870d443a03a,4f5769d9fac7e94afedd86eb0967b1977a5e8626,10,False
125,76fd60c0ec0030080bd36a23244fe870d443a03a,d622f56d27f77d1211cfde5ca6c3141b0712b0aa,4,False
126,76fd60c0ec0030080bd36a23244fe870d443a03a,6eed89627a55044632728daca81da33384bd5e15,4,False
127,76fd60c0ec0030080bd36a23244fe870d443a03a,957f63a28e333648997257a12a4d211dfdf9fb15,4,False
130,76fd60c0ec0030080bd36a23244fe870d443a03a,6face220d6a1b46a9b593c441a2076dd3837044e,4,False
134,76fd60c0ec0030080bd36a23244fe870d443a03a,0965a50373ff2e38a05a3646867890d5f1069ae9,6,False
135,76fd60c0ec0030080bd36a23244fe870d443a03a,a68ec9a74fdae7dae859e27fb711bc3c335a0d86,6,False
136,76fd60c0ec0030080bd36a23244fe870d443a03a,b689d344502419f656d482bd186a5ee6b0140891,7,False
137,76fd60c0ec0030080bd36a23244fe870d443a03a,8d39c4a23bcecc6977ae98e14005aebbc886aa39,5,False
138,76fd60c0ec0030080bd36a23244fe870d443a03a,d7a3efa99a71c3341552de3eb0db078dac368fd5,5,False
140,76fd60c0ec0030080bd36a23244fe870d443a03a,6741f91a5b72c7adc706bd629bc9323a6971259f,6,False
141,76fd60c0ec0030080bd36a23244fe870d443a03a,1ebd8d2863b23a90a36985f9a25c5d431e39612c,19,False
142,76fd60c0ec0030080bd36a23244fe870d443a03a,64e5f6d3996671a3c23ececf838b8976a078a50c,8,False
144,76fd60c0ec0030080bd36a23244fe870d443a03a,501fca6a43ee0b80217ca18989d11ea417032744,6,False
149,76fd60c0ec0030080bd36a23244fe870d443a03a,33052126780794407eae74479c0c0de053921434,7,False
151,76fd60c0ec0030080bd36a23244fe870d443a03a,53f7e55e05999c34610e8d26227ba64c08a0f4ff,14,False
152,76fd60c0ec0030080bd36a23244fe870d443a03a,9cdff54c2ba18a97ba1675c69eb632e9ded2607c,6,False
157,76fd60c0ec0030080bd36a23244fe870d443a03a,938071b0045ff87357da4443efcfab154d092ea4,6,False
163,76fd60c0ec0030080bd36a23244fe870d443a03a,a3406105eb51f858bcaa6906fcdf6a58cfc95176,5,False
164,76fd60c0ec0030080bd36a23244fe870d443a03a,bbcc99adeda18aa336a3a78cadb0d13b9f98aa99,4,False
165,76fd60c0ec0030080bd36a23244fe870d443a03a,18b271097d0d5ff8b57675bf67450104d4ce31f4,5,False
174,76fd60c0ec0030080bd36a23244fe870d443a03a,8fc6944d105536a4633f286737ecd3949181d731,8,False
179,76fd60c0ec0030080bd36a23244fe870d443a03a,be83535338d802b8014babb62f4034c17e1ffd83,4,False
188,76fd60c0ec0030080bd36a23244fe870d443a03a,601273c37a9670f00234f7e7092bb673e7c0b25c,6,False
199,bbb3d9fcc276837d6d4497a88cb0be43b4aff217,c7884360037cb59d27ec25f8a3f00f2d95509066,6,False
200,bbb3d9fcc276837d6d4497a88cb0be43b4aff217,c0d7e39bc35f2cc22ba27a2f1f749a8f0212bcdf,10,False
204,bbb3d9fcc276837d6d4497a88cb0be43b4aff217,957f63a28e333648997257a12a4d211dfdf9fb15,4,False
209,bbb3d9fcc276837d6d4497a88cb0be43b4aff217,71d53c7980b9561ffd56e6012b2bbb6685209df3,5,False
210,bbb3d9fcc276837d6d4497a88cb0be43b4aff217,501fca6a43ee0b80217ca18989d11ea417032744,6,False
212,bbb3d9fcc276837d6d4497a88cb0be43b4aff217,cea4fb5e46aee36ff77ac5d4f0014cd8cb1bee30,9,False
213,bbb3d9fcc276837d6d4497a88cb0be43b4aff217,7066f00d534a6503931372bb9caeec68bbc7d8a9,8,False
214,bbb3d9fcc276837d6d4497a88cb0be43b4aff217,53f7e55e05999c34610e8d26227ba64c08a0f4ff,14,False
215,bbb3d9fcc276837d6d4497a88cb0be43b4aff217,a3406105eb51f858bcaa6906fcdf6a58cfc95176,5,False
223,51712091e5cc2f703e852b3c07bae970d7cdefe4,689bfbdfda79e347815c3d2f9c0b80e16ff49cf5,4,False
224,51712091e5cc2f703e852b3c07bae970d7cdefe4,4332bf95aa520b515b6de4e50f47e988e45bccd6,4,False
225,51712091e5cc2f703e852b3c07bae970d7cdefe4,155a9d63259f34942860f0393a306070d9664442,5,False
234,51712091e5cc2f703e852b3c07bae970d7cdefe4,8b0a4d41ee469547163ea154ad2b522d6d335671,8,False
237,51712091e5cc2f703e852b3c07bae970d7cdefe4,341ea24cc5456da43c0c0b8d1a6e362b31815d8f,4,False
238,51712091e5cc2f703e852b3c07bae970d7cdefe4,3c0e5eb7e999d9587875b74f2bde665bca57fec2,4,False
244,51712091e5cc2f703e852b3c07bae970d7cdefe4,eb164d4c1bd95012bc66831a4319d98197737334,6,False
250,51712091e5cc2f703e852b3c07bae970d7cdefe4,894d1a656c40c75c868b5cdf9e477e93a33d350f,4,False
251,51712091e5cc2f703e852b3c07bae970d7cdefe4,5b682fc17f58f16893072f8cb7fdb70f0d7378fb,5,False
254,51712091e5cc2f703e852b3c07bae970d7cdefe4,c0d7e39bc35f2cc22ba27a2f1f749a8f0212bcdf,10,False
258,51712091e5cc2f703e852b3c07bae970d7cdefe4,15b74acde54afc09f8401ef1d660380c2db2a7e3,5,False
264,51712091e5cc2f703e852b3c07bae970d7cdefe4,4f5769d9fac7e94afedd86eb0967b1977a5e8626,10,False
265,51712091e5cc2f703e852b3c07bae970d7cdefe4,a3bc5b5bd9690842d6f6998aa95388de0894a156,4,False
268,51712091e5cc2f703e852b3c07bae970d7cdefe4,d622f56d27f77d1211cfde5ca6c3141b0712b0aa,4,False
271,51712091e5cc2f703e852b3c07bae970d7cdefe4,8014e27066275b8c99a1db76386f66213cc6fe90,4,False
274,51712091e5cc2f703e852b3c07bae970d7cdefe4,f5da5560d924b846c4035ad4112c32d1ad704819,8,False
279,51712091e5cc2f703e852b3c07bae970d7cdefe4,bbd69927dc4fc8a83049efd410a219c4d1a50d22,4,False
280,51712091e5cc2f703e852b3c07bae970d7cdefe4,02c37bd520162682a656d27f1a04ad1c77620a07,4,False
282,51712091e5cc2f703e852b3c07bae970d7cdefe4,0965a50373ff2e38a05a3646867890d5f1069ae9,6,False
284,51712091e5cc2f703e852b3c07bae970d7cdefe4,a68ec9a74fdae7dae859e27fb711bc3c335a0d86,6,False
285,51712091e5cc2f703e852b3c07bae970d7cdefe4,b689d344502419f656d482bd186a5ee6b0140891,7,False
286,51712091e5cc2f703e852b3c07bae970d7cdefe4,6a672db70fc9df10403e114dcc1851505c7ab93b,4,False
287,51712091e5cc2f703e852b3c07bae970d7cdefe4,1ebd8d2863b23a90a36985f9a25c5d431e39612c,19,False
288,51712091e5cc2f703e852b3c07bae970d7cdefe4,64e5f6d3996671a3c23ececf838b8976a078a50c,8,False
290,51712091e5cc2f703e852b3c07bae970d7cdefe4,71d53c7980b9561ffd56e6012b2bbb6685209df3,5,False
296,51712091e5cc2f703e852b3c07bae970d7cdefe4,4c940c7726ddd513e95d808442a77396d71e9f07,8,False
297,51712091e5cc2f703e852b3c07bae970d7cdefe4,d1d504f87535dcc2789fc255c0e51923e1dae6a9,5,False
299,51712091e5cc2f703e852b3c07bae970d7cdefe4,33052126780794407eae74479c0c0de053921434,7,False
303,51712091e5cc2f703e852b3c07bae970d7cdefe4,938071b0045ff87357da4443efcfab154d092ea4,6,False
308,51712091e5cc2f703e852b3c07bae970d7cdefe4,bbcc99adeda18aa336a3a78cadb0d13b9f98aa99,4,False
309,51712091e5cc2f703e852b3c07bae970d7cdefe4,18b271097d0d5ff8b57675bf67450104d4ce31f4,5,False
310,51712091e5cc2f703e852b3c07bae970d7cdefe4,315900b898f47295550a0edaf9ed8b4e5243ed6c,4,False
312,51712091e5cc2f703e852b3c07bae970d7cdefe4,ab73e70e7421d3aff7e8e6e01e32e486a0326d13,4,False
315,51712091e5cc2f703e852b3c07bae970d7cdefe4,148316b20fabdda8f3d0795c07ebb12986dd59da,8,False
326,51712091e5cc2f703e852b3c07bae970d7cdefe4,ae7cb87ad5f34302b1016d94700428f1f76fe041,4,False
341,51712091e5cc2f703e852b3c07bae970d7cdefe4,601273c37a9670f00234f7e7092bb673e7c0b25c,6,False
342,51712091e5cc2f703e852b3c07bae970d7cdefe4,1efc86d78b94931fefdfd47614299f6c6c17980e,7,False
343,51712091e5cc2f703e852b3c07bae970d7cdefe4,d59780c129598857dd7ba888be017446a1849861,5,False
346,532b585edb31f3843c90ff5c26a4e286ac248cf7,4332bf95aa520b515b6de4e50f47e988e45bccd6,4,False
348,532b585edb31f3843c90ff5c26a4e286ac248cf7,8b0a4d41ee469547163ea154ad2b522d6d335671,8,False
353,532b585edb31f3843c90ff5c26a4e286ac248cf7,1c5a74d5124a5ca91986f8991a924b53e523e08c,4,False
